"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Aquatints--England--1790-1800","geographical term","017707020","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","WINDERMERE LAKE : taken a little below the Ferry, on the side in Westmoreland","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R.d Blamire, April","1792","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707126","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","GRASMERE LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1795","","1 print, etching and aquatint, platemark 33.0 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707140","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","RYDAL LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1795","","1 print, etching and aquatint, platemark 32.9 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707154","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","KESWICK LAKE from CASTLE-RIGG","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.8 x 46.8 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707180","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","POCKLINGTONS ISLAND, KESWICK LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1795","","1 print, etching and aquatint, platemark 32.8 x 46.8 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707206","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","LOWS WATER","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.6 x 46.8 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707215","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","BROADWATER at the upper-end of PATERDALE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.8 x 47.0 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707225","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","NEAR CLAPPERSGATE on the RIVER BRATHA","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.6 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017707251","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","LOWER CASCADE at RYDAL","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1795","","1 print, etching and aquatint, platemark 32.9 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Archaeological surveying--Wales--Brecon Beacons National Park","general term","016080924","Monograph","Language material ; Text","Volume","GBB244215","9781871184433","Leighton, David K.","","person","","Leighton, David K. [person] ; Royal Commission on Ancient and Historical Monuments in Wales [organisation]","The Western Brecon Beacons : the archaeology of Mynydd Du and Fforest Fawr","","Discovering upland heritage","","Wales","Aberystwyth","Royal Commission on Ancient & Historical Monuments in Wales","2012","2nd edition, with amendments","179 pages, illustrations (chiefly colour), maps (some colour), 23 cm","942.9","YK.2013.a.1021","","English","Originally published : 1997"
"Archaeological surveying--Wales--Brecon Beacons","general term","008151540","Monograph","Language material ; Text","Volume","GB9922395","9781871184129","Leighton, David K.","","person","","Leighton, David K. [person]","Mynydd Du and Fforest Fawr : the evolution of an upland landscape in South Wales : from the end of the last glaciation to the present day","","","","Wales","Aberystwyth","Royal Commission on the Ancient & Historical Monuments of Wales","1997","","136 pages, illustrations, maps, 25 cm","942.956","YC.1999.b.7731","","English","bibliography: p120-132. - Includes index"
"Archaeology and history--England--Exmoor National Park","general term","014934314","Monograph","Language material ; Text","Volume","GBA929370","","Riley, Hazel","1961-","person","","Riley, Hazel, 1961- [person] ; English Heritage, Research Department [organisation]","Hoar Moor & Codsend Moors, Exford and Cutcombe, Somerset, Exmoor National Park : historic landscape analysis","","Research Department report series","15-2009 [Research Department report series]","England","Portsmouth","English Heritage","2009","","41 pages, colour illustrations, colour maps, 30 cm","942.385","7738.165000 ; YK.2009.b.2528","","English","'Archaeological survey and investigation'--Cover ; Publisher's number: NGR: SS 87 45"
