"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Automobile Association (Great Britain), Mapping Services Department","","organisation","cartographer","Automobile Association (Great Britain), Mapping Services Department, cartographer [organisation] ; Great Britain, Ordnance Survey, cartographer [organisation]","016500232","Monograph","Cartographic image ; Cartographic material","Sheet","","9780749573102","West & central Brecon Beacons","AA 18 West & central Brecon Beacons ; West & central Brecon Beacons walker's map","AA Walker's Map","18 [AA Walker's Map]","England","Basingstoke","AA Publishing","2012","1st edition April 2012","1 map, both sides, colour, on sheet 95 x 127 cm, folded in cover to 24 x 14 cm","912.42956","Maps 220.b.864","Brecon Beacons National Park (Wales)--Maps","Map","English","'Mapping sourced from Ordnance Survey.' ; Relief shown by contours and spot heights"
"Automobile Association (Great Britain), Mapping Services Department","","organisation","cartographer","Automobile Association (Great Britain), Mapping Services Department, cartographer [organisation] ; Great Britain, Ordnance Survey, cartographer [organisation]","016500242","Monograph","Cartographic image ; Cartographic material","Sheet","","9780749573355","Norfolk Broads","AA 22 Norfolk Broads ; Norfolk Broads walker's map","AA Walker's Map","22 [AA Walker's Map]","England","Basingstoke","AA Publishing","2012","1st edition April 2012","1 map, both sides, colour, on sheet 95 x 127 cm, folded in cover to 24 x 14 cm","912.42617","Maps 220.b.868","Broads, The (England)--Maps","Map","English","'Mapping sourced from Ordnance Survey.' ; Relief shown by contours and spot heights"
"Automobile Association (Great Britain), Mapping Services Department","","organisation","cartographer","Automobile Association (Great Britain), Mapping Services Department, cartographer [organisation] ; Great Britain, Ordnance Survey, cartographer [organisation]","016500257","Monograph","Cartographic image ; Cartographic material","Sheet","","9780749573324","Walker's Map 4 Snowdon & the Conwy Valley","Snowdon & The Conwy Valley Walker's map ; Snowdon & the Conwy Valley","AA Walker's map series","4 [AA Walker's map series]","England","Basingstoke","AA Publishing","2012","1st Edition April 2012","1 map, both sides, colour, 120 x 88 cm or smaller, on sheet 126 x 95 cm, folded in cover to 24 x 14 cm","912.4292","Maps.2016.d.56","Snowdonia National Park (Wales)--Maps","Map","English","'Mapping sourced from Ordnance Survey.' ; Inset map of Great Orme's Head ; Location maps on back cover ; Panel title ; Relief shown by contours and spot heights"
"Automobile Association (Great Britain), Mapping Services Department","","organisation","cartographer","Automobile Association (Great Britain), Mapping Services Department, cartographer [organisation] ; Great Britain, Ordnance Survey, cartographer [organisation]","016500323","Monograph","Cartographic image ; Cartographic material","Sheet","","9780749572952","Norwich & the Norfolk Broads","","AA Leisure Map","30 [AA Leisure Map]","England","Basingstoke","AA Publishing","2012","1st edition April 2012","1 map, colour, 80 x 80 cm, on sheet 89 x 100 cm, folded in cover to 23 x 14 cm","912.42615 ; 912.42617","Maps 220.b.846","Norwich (England)--Maps ; Broads, The (England)--Maps ; Roads--England--Broads, The--Maps ; Roads--England--Norwich--Maps","Map","English","'Enabled by Ordnance Survey.' ; Relief shown by contours and spot heights"
"Automobile Association (Great Britain), Publications Division","","organisation","","Automobile Association (Great Britain), Publications Division [organisation] ; Great Britain, Ordnance Survey [organisation]","010118550","Monograph","Language material ; Text","Volume","GB8831648","9780861452330 ; 9780861452347","Yorkshire Dales","","Ordnance Survey leisure guide","","England","Basingstoke","Automobile Association ; Ordnance Survey","1985","","120 pages, illustrations (chiefly colour), colour maps, 30 cm","914.28404858","Map Library","North Yorkshire--National parks--Yorkshire Dales National Park ; Yorkshire Dales National Park (England)--Guide-books","","English","Includes index"
"Avanté Consulting","","organisation","","Cairngorms National Park Authority [organisation] ; Scottish Natural Heritage (Agency) [organisation] ; Moray House School of Education [organisation] ; Loch Lomond and the Trossachs National Park Authority [organisation] ; Avanté Consulting [organisation]","016551400","Monograph","Language material ; Text","Volume","GBB3A7485","","Getting into Scotland's national parks and national nature reserves : a resource pack","","","","Scotland","","Cairngorms National Park Authority ; Loch Lomond ; Scottish Natural Heritage ; Trossachs National Park Authority","2013","","50 pages, 18 unnumbered pages, colour illustrations, colour maps, 32 cm","","","Natural areas--Public use--Scotland ; National parks and reserves--Public use--Scotland--Loch Lomond and the Trossachs National Park (Scotland) ; Protected areas--Public use--Scotland ; National parks and reserves--Public use--Scotland--Cairngorms National Park (Scotland)","","English","'Information, advice, resources, ideas and a host of helpful contacts for teachers, staff and volunteers supporting visits to Scotland's national parks and national nature reserves.' ; 'This resource pack is one of a series of outputs from an eighteen month research project undertaken by Avanté Consulting and the University of Edinburgh, Moray House School of Education on behalf of the Cairngorms National Park Authority, Loch Lomond and The Trossachs National Park Authority and Scottish Natural Heritage'--Back cover ; In ring binder ; Title from cover"
"Baily, John","active approximately 1798-1820","person","printmaker","Macdonald, Thomas, active 1814-1820, publisher [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Goodwin, Edward, active 1802-1816, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Baily, John, active approximately 1798-1820, printmaker [person]","004841342","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","THE VALE OF FESTINIOG, MERIONETHSHIRE","","","","England","London","1st March ; T. Macdonald 39 Fleet Street","1814","","1 print, aquatint and etching with hand-colouring, sheet 46 x 60.7 cm","704.943642925","Maps K.Top.47.70.b","Snowdonia National Park (Wales)--Pictorial works ; Rivers--Wales--Snowdonia National Park--1810-1820 ; Trees--Wales--Snowdonia National Park--1810-1820 ; Landscapes--Wales--Snowdonia National Park--Pictorial works","Aquatint ; Etching ; Pictorial work ; Plan or view","English","Titled 'View of the Vale of Festiniog, ... by Edwd. Goodwin, engraved by Baily, 1814.' in the Catalogue of Maps, Prints, Drawings, etc, forming the geographical and topographical collection attached to the Library of his late Majesty King George the third, etc, London, 1829"
"Baker, S. K.","","person","author ; illustrator","Baker, S. K., author ; illustrator [person]","018366763","Monograph","Language material ; Still image ; Text","Volume","GBB792324","9781472945136","A week on the broads : four Victorian gents at sail in a Norfolk gaffer in 1889","","","","England","London","Adlard Coles Nautical","2017","","93 pages, colour illustrations, 22 cm","914.26170481","YKL.2018.a.17304","Broads, The (England)--Pictorial works ; Broads, The (England)--Description and travel--19th century ; Baker, S. K, active 19th century--Travel--England--Broads, The","Pictorial work","English","Additional physical form: ebook version. 9781472945143"
"Baker, S. K.","","person","author ; illustrator","Baker, S. K., author ; illustrator [person]","018439273","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBB7C9341","9781472945143 ; 9781472945167","A week on the broads : four Victorian gents at sail on a Norfolk gaffer in 1889","","","","England","London","Adlard Coles Nautical","2017","","1 online resource, illustrations","914.26170481","","Broads, The (England)--Pictorial works ; Broads, The (England)--Description and travel--19th century ; Baker, S. K.--Travel--England--Broads, The","Pictorial work","English","Additional physical form: Print version. 9781472945136"
"Ball, Jason","","person","illustrator","Wilson-North, Robert, editor ; illustrator [person] ; Balmond, Faye, editor ; illustrator [person] ; Sully, Matt, illustrator [person] ; Exmoor National Park Authority [organisation] ; Bray, Lee, illustrator [person] ; Siraut, Mary, author [person] ; Ball, Jason, illustrator [person]","016451462","Monograph","Language material ; Text","Volume","GBB443972","9780956367426","A field guide to the Royal Forest of Exmoor","","","","England","Dulverton, Somerset","Exmoor National Park Authority","2013","","35 pages, colour illustrations, maps (black and white and colour), 22 cm","914.2385","YK.2014.a.11017","Exmoor National Park (England)","","English","Title from cover"
"Ballance, David K.","","person","author","Ballance, David K., author [person] ; Gibbs, Brian D., author [person] ; Butcher, Roger (Roger J.), author [person]","017783071","Monograph","Language material ; Text","Volume","GBB656525","9780955278778","The birds of Exmoor and the Quantocks","","","","England","Minehead, Somerset","","2016","","xvi, 262 pages, 1 unnumbered folded leaf, illustrations (some colour), maps, 24 cm","","YKL.2018.a.2887","Birds--England--Exmoor National Park ; Birds--England--Quantock Hills","","English",""
"Balmond, Faye","","person","author","Exmoor Moorland Landscape Partnership, publisher [organisation] ; Wilson-North, Robert, author [person] ; Balmond, Faye, author [person] ; Exmoor National Park Authority, publisher [organisation]","016599404","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB613993","9780956367433","Porlock's moorland archaeology : the DIG Porlock Project 2013","","","","England","Exmoor","Exmoor National Park Authority","2013","","48 pages, illustrations (black and white and colour), maps (black and white and colour), 17 x 24 cm","936.2385","LC.31.a.16843","Excavations (Archaeology)--England--Exmoor ; Exmoor (England)--Antiquities","","English",""
"Balmond, Faye","","person","editor ; illustrator","Wilson-North, Robert, editor ; illustrator [person] ; Balmond, Faye, editor ; illustrator [person] ; Sully, Matt, illustrator [person] ; Exmoor National Park Authority [organisation] ; Bray, Lee, illustrator [person] ; Siraut, Mary, author [person] ; Ball, Jason, illustrator [person]","016451462","Monograph","Language material ; Text","Volume","GBB443972","9780956367426","A field guide to the Royal Forest of Exmoor","","","","England","Dulverton, Somerset","Exmoor National Park Authority","2013","","35 pages, colour illustrations, maps (black and white and colour), 22 cm","914.2385","YK.2014.a.11017","Exmoor National Park (England)","","English","Title from cover"
"Banchory Research Station","","organisation","","Banchory Research Station [organisation] ; Bayfield, N. G. [person]","006252398","Monographic component part","Language material ; Text","Volume","","","Three Peaks Project : monitoring handbook","","","","","","Banchory Research Station","1988","","","307.12 ; 577","4588.558000","Ecology ; Urban planning & rural planning ; Regional planning ; Countryside footpaths","","English",""
