"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"A look at Crickhowell","","011285889","Monograph","Language material ; Text","Sheet","","","","","","","Brecon Beacons National Park Committee [organisation]","","","Wales","Pontypool","Brecon Beacons National Park Committee","1990","New edition","1 folded sheet, illustrations","","YA.1995.a.16681","Powys--Crickhowell","","English",""
"A look at Crickhowell, Powys","","012687444","Monograph","Language material ; Text","Volume","GB7628376","9780905293028","Crickhowell Community Council","","organisation","","Crickhowell Community Council [organisation] ; Brecon Beacons National Park Committee [organisation]","","","Wales","Brecon ; Glamorgan Street, Brecon, Powys","Brecon Beacons National Park Committee","1976","","folder (6 pages), illustrations, 1 map, 21 cm","720.942956","X.709/30662","Historic buildings--Crickhowell, Powys ; Crickhowell, Powys--Description--Guide-books ; Powys--Crickhowell--Buildings of historical importance--Architecture--Walkers' guides","","English",""
"A look back at the Broads : some aspects of history of the Norfolk and Suffolk Broads and rivers : with accounts from those who were there at the time","","019621655","Monograph","Language material ; Still image ; Text","Volume","GBC011143","9780955827198","Cleveland, David","1942-","person","author","Cleveland, David, 1942-, author [person]","","","England","Manningtree, Essex","David Cleveland","2019","","337 pages, illustrations (black and white and colour), 31 cm","","","Broads, The (England)--History","","English",""
"A management plan for Levisham Moor","","011678454","Monograph","Language material ; Text","Volume","","","","","","","North Yorkshire County Council, North York Moors National Park Committee [organisation]","","","England","Northallerton","North Yorkshire County Council North York Moors National Park Committee","","","","307.12","84/19376","Regional planning ; Urban planning & rural planning","","English",""
"A motorway, Sheffield to Manchester through Longdendale in the Peak District National Park : a calculated prediction of the dangers threatening the Peak District National Park, and the bordering countryside and an appeal for help to avert it","","012255409","Monograph","Language material ; Text","Volume","GB7514782","9780950042213","Voluntary Joint Committee for the Peak District National Park","","organisation","","Voluntary Joint Committee for the Peak District National Park [organisation]","","","England","Endcliffe Cres, Sheffield S10 3ED ; Sheffield","Committee","1974","","16 pages, illustrations, plans, 25 cm","388.12 ; 388.122","","Derbyshire--Longdendale--Proposed motorways--Critical studies ; Express highways--Longdendale, Derbyshire","","English","Cover title: A motorway in a national park"
"A multifaceted approach to spatial analysis of ecosystem services : a case study in the New Forest National Park","","018855144","Monograph","Language material ; Text","Online resource","","","Gosal, Arjan","","person","author","Gosal, Arjan, author [person] ; Bournemouth University [organisation]","","","United Kingdom","","Bournemouth University","2018","","1 online resource","333.72","738145","","","English",""
"A people's charter? : 40 years of the National Parks and Access to the Countryside Act 1949","","012360597","Monograph","Language material ; Text","Volume","","9780117014398","John, Blunden","","person","","John, Blunden [person]","","","England","London","HMSO","1990","","","","OP-90/COC","","","English",""
"A people's charter? : forty years of the National Parks and Access to the Countryside Act 1949","","010407762","Monograph","Language material ; Text","Volume","","9780117014398","Blunden, John","","person","","Great Britain, Countryside Commission [organisation] ; Curry, Nigel [person] ; Blunden, John [person]","","","England","London","H.M.S.O","1990","","","","OP-90/COC","","","English",""
"A picture of the Peak District","","012638477","Monograph","Language material ; Text","Volume","GB8710544","9780709029656","Redfern, Roger A. (Roger Andrew)","","person","","Redfern, Roger A. (Roger Andrew) [person]","","","England","London","Hale","1987","","222 pages, illustrations, 24 cm","914.251104857","YC.1987.b.4464","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park","","English","bibliography: p217. _ Includes index"
"A plain man's guide to the path round the Dale Peninsula","","010112698","Monograph","Language material ; Text","Volume","GB8214476","9780860750055","Barret, John H. (John Henry)","1913-","person","","Barret, John H. (John Henry), 1913- [person]","Pembrokeshire Coast National Park area guide","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1981","2nd edition","31 pages, illustrations, colour maps, 21 cm","914.2962","BS.116/185","Dyfed--Dale Peninsula--Long-distance footpaths--Pembrokeshire Coast Path--Walkers' guides ; Dale Region (Dyfed)--Description and travel--Guide-books ; Pembrokeshire Coast Path (Wales)--Guide-books","","English","Previous edition: 1966?"
"A proposal for a Cairngorms National Park : a consultation of the area, powers and representation for the proposed National Park; 'a new way of caring for a special place'","","010445315","Monograph","Language material ; Text","Volume","","9781853972904","Scottish Natural Heritage (Agency)","","organisation","","Scottish Natural Heritage (Agency) [organisation]","","","","","Scottish Natural Heritage","2000","","","307.12 ; 320 ; 351 ; 790 ; 796 ; 910","Vm00/50930","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Public administration ; Sports ; Tourism ; Political science ; Scotland; Scottish; Wildlife; Conservation","","English",""
"A proposal for a Cairngorms National Park : a consultation on the area, powers and representation for the proposed national park : new way of caring for a special place : a consultation","","007728062","Monograph","Language material ; Text","Volume","GBA107322","9781853972904","","","","","Scottish Natural Heritage (Agency) [organisation]","","","Scotland","Edinburgh","Scottish Natural Heritage","2000","","44 pages, 30 cm","","","National parks and reserves--Scotland","","English","colour map on lining paper, and 1 folded map loosely inserted in back pocket"
"A proposal for a Cairngorms National Park : a new way of caring for a special place : a consultation","","012263084","Monograph","Language material ; Text","Volume","GBA122971","","","","","","Scottish Natural Heritage (Agency) [organisation]","","","Scotland","Edinburgh","Scottish Natural Heritage","2000","","10 pages, colour illustrations, colour maps, 30 cm","","","National parks and reserves--Scotland","","English",""
"A proposal for a Loch Lomond and The Trossachs National Park : a consultation on the area, powers and representation of the proposed national park : 'A new way of caring for a special place'","","013183436","Monograph","Language material ; Text","Volume","","9781853972836","","","","","Scottish Natural Heritage (Agency) [organisation] ; Scotland, Scottish Executive [organisation]","","","Scotland","Perth","Scottish Natural Heritage","2000","","56 pages, illustrations, maps (chiefly colour), 30 cm","333.783094142","Vm05/.50248","","","English","One folded out map attached to inside back cover"
"A report by the Joint Scrutiny Committee on the impact of the policies and work of the National Park Authorities on the economic activity of both National Parks : July 2015","","019184093","Monograph","Language material ; Text","Online resource","","","","","","","","","","United Kingdom","Penrhyndeudraeth","Snowdonia National Park","2015","","1 online resource","","ELD.DS.371650","","","English","Catalogued at NLW - bib # 99801339702419"
"A romantic landscape : the poems of the Coleridge Way","Poems","017901585","Monograph","Language material ; Text","Volume","GBB838376","9780995476707","","","","","Coleridge, Samuel Taylor, 1772-1834 [person] ; Wordsworth, William, 1770-1850 [person]","","","United Kingdom","","Ruth Luckhurst","2014","","198 pages, 21 cm","821.7","YC.2018.a.2097","West Country (England)--In literature ; Coleridge Way (England) ; Coleridge, Samuel Taylor, 1772-1834--Homes and haunts--England--West Country ; Wordsworth, William, 1770-1850--Homes and haunts--England--West Country","","English","'Published to accompany the 2014 Exmoor National Park exhibition, In the Footsteps of the Romantic Poets'--Title page verso ; Includes index"
"A selection of the Cairngorms National Park's architectural heritage","","014426167","Monograph","Language material ; Text","Volume","GBA7A3304","9781904966487","","","","","Historic Scotland [organisation]","","","Scotland","Edinburgh","Historic Scotland","2007","","60 pages, illustrations (some colour), maps (some colour), portraits (some colour), 20 x 21 cm","941.24","YK.2008.a.4033","Historic buildings--Scotland--Cairngorms National Park ; Architecture--Scotland--Cairngorms National Park ; Cultural property--Scotland--Cairngorms National Park","","English",""
"A selection of the Loch Lomond and the Trossachs National Park's architectural heritage","","014274867","Monograph","Language material ; Text","Volume","GBA790021","9781904966494","","","","","Historic Scotland [organisation]","","","Scotland","Edinburgh","Historic Scotland","2007","","56 pages, illustrations (some colour), maps (some colour), portraits (some colour), 20 x 21 cm","720.94142","YC.2008.a.12281","Architecture--Scotland--Loch Lomond and the Trossachs National Park ; Historic buildings--Scotland--Loch Lomond and the Trossachs National Park ; Cultural property--Scotland--Loch Lomond and the Trossachs National Park","","English",""
